id,HighRisk
26183,0
30456,1
53878,1
52053,1
34510,0
61578,1
91520,0
39846,1
28284,0
55499,0
77635,0
40009,0
68474,1
86191,0
49183,0
30903,0
74433,0
25709,1
82233,1
65161,1
22010,0
19387,0
88879,0
40008,0
2928,1
41599,0
6419,0
77501,0
68412,0
8902,0
20904,0
69432,1
39671,1
71772,1
52597,0
99725,0
23526,1
22141,1
8520,1
3755,1
67476,0
23079,1
94083,0
81355,0
27501,0
15667,0
38042,0
58266,0
28608,0
12879,0
38555,0
20451,1
94969,1
42109,0
35266,1
86005,0
80333,0
22949,0
51482,1
66117,0
13198,1
54297,1
65370,0
11350,0
71553,1
92426,0
38849,0
24889,1
41833,1
88390,0
95661,1
14958,1
71578,0
12954,0
98475,0
92625,0
482,0
12942,0
19478,1
67023,0
40806,1
98135,0
80551,1
84845,0
46435,0
47937,0
91542,0
37361,0
28770,1
39684,0
94445,0
42474,1
30447,1
94681,0
7736,0
37212,0
35596,1
70328,0
91267,0
64790,0
47427,0
47918,1
17079,0
64774,0
2710,0
73068,0
52732,0
55585,0
56259,1
99693,0
67428,0
40762,0
98328,1
82496,0
88080,1
127,1
90164,0
28270,0
35895,1
4066,0
24125,1
58200,0
70952,0
74880,1
67921,1
4538,0
71345,0
82417,0
7213,0
66370,0
33215,0
78212,1
67528,0
9716,0
3542,0
88199,0
7631,1
57957,1
44296,0
48541,0
38879,1
44983,1
54175,0
43233,0
90357,1
57361,0
51211,0
45552,0
94526,0
53754,0
46519,1
68976,1
68507,1
84268,1
40014,1
31859,1
13127,0
42315,0
75827,1
35807,0
1030,0
17956,1
68397,1
74106,1
58565,1
78571,0
1933,1
97085,0
64904,1
76689,0
1859,0
91513,0
79781,1
32145,0
8945,0
69446,0
95964,1
94315,1
58409,1
24989,1
35655,1
42201,1
66271,0
40797,1
94050,0
45478,0
41033,0
86332,1
66257,0
71701,0
36486,0
67354,0
61148,0
52769,0
37570,0
12407,0
93164,0
60620,0
30163,0
84182,0
96095,0
93961,0
32290,1
74796,1
58058,0
73469,0
85467,0
5471,0
96033,1
71120,0
26665,0
54427,0
73290,0
75973,1
36858,0
92770,1
68488,1
83479,1
42952,0
76988,0
85674,0
41691,1
77604,0
80593,0
54491,0
63247,0
98666,1
67964,0
84452,0
75232,0
42821,1
96925,0
3971,1
1392,1
73648,0
